"label","latency","processing.time","test","trace.time","ext1.listener","ext1.sender","gatea.hop.rate","gateb.hop.rate","gatec.hop.rate","gatea.kbps","gatea.pps","gateb.kbps","gateb.pps","gatec.kbps","gatec.pps","invalid.loss.rate","invalid.recv","invalid.sent","prota1.listener","prota1.sender","protb1.listener","protb1.sender","protc1.listener","protc1.sender","results.database","time.begin","time.end","time.total","total.packets","valid.loss.rate","valid.loss.rate.arg","valid.loss.rate.extraarg","valid.loss.rate.interarg","valid.loss.rate.tcp","valid.loss.rate.tcp.interarg","valid.loss.rate.udp","valid.loss.rate.udp.interarg","valid.loss.rate.udptcp.interarg","valid.recv","valid.recv.arg","valid.recv.extraarg","valid.recv.interarg","valid.recv.tcp","valid.recv.tcp.interarg","valid.recv.udp","valid.recv.udp.interarg","valid.recv.udptcp.interarg","valid.sent","valid.sent.arg","valid.sent.extraarg","valid.sent.interarg","valid.sent.tcp","valid.sent.tcp.interarg","valid.sent.udp","valid.sent.udp.interarg","valid.sent.udptcp.interarg","inbound.bad.protocol","inbound.connection.data.received","inbound.dest.ip.incorrect","inbound.gateway.not.connected","inbound.nat.bucket.not.found","inbound.ping.accepted","inbound.rewrite","inbound.source.ip.incorrect","inbound.unwrapped","lost.on.wire","outbound.gateway.not.connected","outbound.message.too.long","outbound.rewrite","outbound.sequence.number.incorrect","outbound.wrapped","unknown",
"packetrate","20","1187.00591707","4","15.4569981098","udp, port 2000",,"50ms","50ms","50ms","477.50278991","96.4509432152","474.879342973","95.9070887403","470.567166146","94.7790389397","1.0","0","0","tcp, port 5000","udp, 172.3.0.11:3000, .2 second delay","tcp, port 5000","tcp, 172.100.0.1:4000, .2 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .2 second delay","./packetrate-t4-l20-hr50ms-2012-12-19-13:31:35.db","1355893218.34","1355893539.07","320.729115009","296518","0.00171353872244","0.062893081761","0.00014353380221","0.00263253703756","0.00166167176048","0.00249811463047","0.00092965602727","0.00148169053835","0.00209104524005","56511","298","20898","35613","33645","21163","22568","14152","35315","56608","318","20901","35707","33701","21216","22589","14173","35389",,,,"1",,,,,"20",,,"9",,"43",,"24",
"hoprate","30","799.686239004","4","9.74505519867","udp, port 2000",,"100ms","100ms","100ms","324.084204972","65.4455287396","319.795613735","65.123277572","318.114377215","64.433873978","1.0","0","0","udp, port 3000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","tcp, 172.100.0.1:4000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l30-hr100ms-2012-12-20-18:09:34.db","1356066019.18","1356066340.55","321.362463951","201008","0.00152305230007","0.0196531791908","0.000286163971956","0.00222132471729","0.00150236401396","0.00216965285554","0.000524865503215","0.000728635370043","0.00159029085583","38679","848","13974","24705","22597","14257","15234","9600","23857","38738","865","13978","24760","22631","14288","15242","9607","23895",,,,,,,,,"17",,,"11",,"16",,"15",
"basic","20","7.18524312973","6","0.0558290481567",,"tcp, 172.2.0.11:4500, .3 second delay","500ms","500ms","500ms","2.10830825362","0.975441633425","2.12145690668","0.982138752062","2.12969551418","0.985082626946","1.0","0","0","tcp, port 4500",,"tcp, port 4500",,"tcp, port 4500",,"./basic-t6-l20-hr500ms-2012-12-19-11:35:43.db","1355893215.75","1355893521.69","305.945341825","1788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","804","804","0","804","0","0","0","0","0","804","804","0","804","0","0","0","0","0",,,,,,,,,,,,,,,,,
"fuzzer","20","49.6824131012","9","0.395696878433","tcp, port 4000","tcp, 172.3.0.11:4500, 5 second delay","500ms","500ms","500ms","12.6277990858","3.40484998358","13.7820843659","3.89351091295","12.5778257258","3.3777192183","1.0","0","163","tcp, port 5000","tcp, 172.2.0.11:5000, 5 second delay","tcp, port 5000","udp, 172.100.0.1:2000, 5 second delay","udp, port 2500","tcp, 172.1.0.11:5000, 5 second delay","./fuzzer-t9-l20-hr500ms-2012-12-20-05:31:13.db","1355979618.16","1355979953.61","335.455317974","8708","0.232684472612","0.0013986013986","0.00310880829016","0.41077170418","0.245259165613","0.955445544554","0.453769559033","0.969418960245","0.964083175803","1695","714","962","733","597","9","384","10","19","2209","715","965","1244","791","202","703","327","529",,,"5","16","150",,,,,"21","216",,,"269",,,
"packetrate","20","9359.36668706","4","135.58186388","udp, port 2000",,"500ms","500ms","500ms","4402.78182398","741.667359677","4370.51540629","736.733239963","4324.39659828","729.987725547","1.0","0","0","tcp, port 5000","udp, 172.2.0.11:3000, .001 second delay","tcp, port 5000","udp, 172.3.0.11:3000, .001 second delay","tcp, port 5000","tcp, 172.1.0.11:5000, .001 second delay","./packetrate-t4-l20-hr500ms-2012-12-20-01:28:01.db","1355893218.43","1355893540.04","321.612114191","2282417","0.000678353799707","0.0931034482759","0.000376860749953","0.000845247729521","0.000873962169923","0.00109253633057","0.000376022310657","0.000430253780335","0.000748915332961","431635","263","153845","277790","208065","133488","223307","144039","277527","431928","290","153903","278025","208247","133634","223391","144101","277735",,,,"1",,,,,"27","35",,"26","5",,"22","177",
"hoprate","0","957.333521843","4","11.4371759892","udp, port 2000",,"100ms","100ms","100ms","382.404305025","78.6497591739","381.323400388","78.1558588851","379.8086383","77.5246685083","1.0","0","0","tcp, port 5000","tcp, 172.100.0.1:4000, .3 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l0-hr100ms-2012-12-20-17:26:42.db","1355979618.07","1355979939.35","321.283576012","239390","0.00973720487517","0.0215311004785","6.51296079198e-05","0.0146307707516","0.0106627715903","0.0159697069476","0.00772311212815","0.0119585437151","0.0144352953136","45256","818","15353","29903","27093","17931","17345","11154","29085","45701","836","15354","30347","27385","18222","17480","11289","29511",,,"1",,,,,"418","18",,,,,,,"8",
"basic","20","247.412069082","1","2.72431206703",,,"500ms","500ms","500ms","140.564282279","24.092923531","141.215952234","24.2980873849","140.971246313","24.2076672072","1.0","0","0","udp, port 3000","udp, 172.2.0.11:3000, .3 second delay","udp, port 3000","udp, 172.1.0.11:3000, .3 second delay","udp, port 3000","udp, 172.1.0.11:3000, .3 second delay","./basic-t1-l20-hr500ms-2012-12-30-14:30:52.db","1356843616.3","1356843924.62","308.319512844","66056","0.00164388302474","0.00490196078431","0.0","0.00164388302474","0.0","0.0","0.00139638800968","0.00139638800968","0.00139638800968","11539","812","0","11539","0","0","10727","10727","10727","11558","816","0","11558","0","0","10742","10742","10742","1",,,"1","3",,,"3","4",,"7",,,,,,
"hoprate","0","970.180885077","4","11.6100189686","tcp, port 4000",,"500ms","500ms","500ms","392.405737348","79.5540218694","391.148183738","79.334984066","389.940736321","78.8568327828","1.0","0","0","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","./hoprate-t4-l0-hr500ms-2013-01-01-05:16:08.db","1357016418.2","1357016739.47","321.276097059","243524","0.00270393043328","0.024064171123","0.000325690463783","0.00388638792629","0.00238016771028","0.00330633162506","0.00231124807396","0.00350525788683","0.00338544259683","46104","730","15347","30757","27244","18087","18130","11940","30027","46229","748","15352","30877","27309","18147","18172","11982","30129",,,,,,,,"77","18",,,,,,,"30",
"basic","20","915.995050907","8","11.4632649422","tcp, port 4000","tcp, 172.3.0.11:4500, .3 second delay","500ms","500ms","500ms","356.577554616","72.4359465554","353.544986632","71.9589141555","349.167003299","71.1205769594","1.0","0","756","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","./basic-t8-l20-hr500ms-2012-12-20-21:07:54.db","1355979618.1","1355979951.41","333.309276819","227810","0.00139069163731","0.0278396436526","0.000342278203724","0.00192738996355","0.00138756739613","0.00181884321571","0.0","0.0","0.00108546204501","43084","873","14603","28481","25189","16464","17022","11144","27608","43144","898","14608","28536","25224","16494","17022","11144","27638",,,,,"759",,,"1","25",,,"15",,,,"16",
"packetrate","20","8069.45157599","4","117.327353001","udp, port 2000",,"500ms","500ms","500ms","3812.651585","641.146097738","3797.66251226","638.539319518","3770.55516465","634.346574289","1.0","0","0","tcp, port 5000","udp, 172.2.0.11:3000, .005 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .005 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .005 second delay","./packetrate-t4-l20-hr500ms-2012-12-30-11:02:24.db","1356843620.13","1356843941.04","320.911995888","1972450","0.00110753553231","0.0854430379747","0.000684452286071","0.00133798382821","0.00130559907552","0.0015817751988","0.000784049016044","0.000897673262962","0.0012277470841","372487","289","131402","241085","179759","116141","192439","124655","240796","372900","316","131492","241408","179994","116325","192590","124767","241092",,,,,,,"4",,"43","113",,"17","19",,"66","151",
